cfheps_amount,zip,month,timely_issuance,agency_action
1047.50,10002,2023-12-01,Timely,N/A
791.73,10002,2023-12-01,Timely,N/A
998.20,10002,2023-12-01,Timely,N/A
1715.41,10002,2023-12-01,Timely,N/A
951.76,10002,2023-12-01,Timely,N/A
1516.00,10002,2023-12-01,Timely,N/A
570.28,10002,2023-12-01,Timely,N/A
3320.00,10002,2023-12-01,Timely,N/A
1023.66,10002,2023-12-01,Timely,N/A
1133.18,10002,2023-12-01,Timely,N/A
1265.77,10002,2023-12-01,Timely,N/A
1050.00,10002,2023-12-01,Timely,N/A
966.00,10002,2023-12-01,Timely,N/A
1701.00,10002,2023-12-01,Timely,N/A
857.10,10002,2023-12-01,Timely,N/A
771.75,10002,2023-12-01,Timely,N/A
913.41,10002,2023-12-01,Timely,N/A
1701.00,10002,2023-12-01,Timely,N/A
1012.13,10002,2023-12-01,Timely,N/A
1226.00,10002,2023-12-01,Timely,N/A
1235.92,10002,2023-12-01,Timely,N/A
1649.92,10002,2023-12-01,Timely,N/A
1391.43,10002,2023-12-01,Timely,N/A
1609.70,10002,2023-12-01,Timely,N/A
2018.30,10002,2023-12-01,Timely,N/A
1580.30,10002,2023-12-01,Timely,N/A
1615.70,10002,2023-12-01,Timely,N/A
1641.80,10002,2023-12-01,Timely,N/A
1641.80,10002,2023-12-01,Timely,N/A
1556.30,10002,2023-12-01,Timely,N/A
1637.70,10002,2023-12-01,Timely,N/A
1641.80,10002,2023-12-01,Timely,N/A
843.32,10003,2023-12-01,Timely,N/A
893.10,10003,2023-12-01,Timely,N/A
397.60,10003,2023-12-01,Timely,N/A
1210.00,10003,2023-12-01,Timely,N/A
784.27,10003,2023-12-01,Timely,N/A
1049.91,10003,2023-12-01,Timely,N/A
638.87,10003,2023-12-01,Timely,N/A
1561.00,10003,2023-12-01,Timely,N/A
768.60,10003,2023-12-01,Timely,N/A
1420.40,10003,2023-12-01,Timely,N/A
598.30,10003,2023-12-01,Timely,N/A
888.79,10003,2023-12-01,Timely,N/A
452.22,10003,2023-12-01,Timely,N/A
928.70,10003,2023-12-01,Timely,N/A
1240.40,10003,2023-12-01,Timely,N/A
829.81,10003,2023-12-01,Timely,N/A
958.97,10003,2023-12-01,Timely,N/A
810.42,10003,2023-12-01,Timely,N/A
1574.40,10003,2023-12-01,Timely,N/A
1341.69,10003,2023-12-01,Timely,N/A
762.60,10003,2023-12-01,Timely,N/A
1893.00,10003,2023-12-01,Timely,N/A
1157.48,10003,2023-12-01,Timely,N/A
768.60,10003,2023-12-01,Timely,N/A
765.89,10003,2023-12-01,Timely,N/A
1419.00,10003,2023-12-01,Timely,N/A
1179.45,10003,2023-12-01,Timely,N/A
2085.00,10004,2023-12-01,Timely,N/A
416.80,10009,2023-12-01,Timely,N/A
602.73,10009,2023-12-01,Timely,N/A
374.51,10009,2023-12-01,Timely,N/A
319.87,10009,2023-12-01,Timely,N/A
552.00,10009,2023-12-01,Timely,N/A
783.03,10009,2023-12-01,Timely,N/A
993.00,10009,2023-12-01,Timely,N/A
1229.93,10009,2023-12-01,Timely,N/A
518.13,10009,2023-12-01,Timely,N/A
640.29,10009,2023-12-01,Timely,N/A
472.84,10009,2023-12-01,Timely,N/A
689.99,10009,2023-12-01,Timely,N/A
460.83,10009,2023-12-01,Timely,N/A
924.12,10009,2023-12-01,Timely,N/A
1363.20,10009,2023-12-01,Timely,N/A
677.87,10009,2023-12-01,Timely,N/A
703.82,10009,2023-12-01,Timely,N/A
893.83,10009,2023-12-01,Timely,N/A
728.14,10009,2023-12-01,Timely,N/A
161.48,10009,2023-12-01,Timely,N/A
765.17,10009,2023-12-01,Timely,N/A
330.37,10009,2023-12-01,Timely,N/A
1028.74,10009,2023-12-01,Timely,N/A
1307.19,10009,2023-12-01,Timely,N/A
541.42,10009,2023-12-01,Timely,N/A
1100.00,10009,2023-12-01,Timely,N/A
1558.42,10009,2023-12-01,Timely,N/A
754.97,10009,2023-12-01,Timely,N/A
919.43,10009,2023-12-01,Timely,N/A
1278.98,10010,2023-12-01,Timely,N/A
727.00,10010,2023-12-01,Timely,N/A
1059.85,10010,2023-12-01,Timely,N/A
650.57,10010,2023-12-01,Timely,N/A
1529.74,10010,2023-12-01,Timely,N/A
76.87,10010,2023-12-01,Timely,N/A
522.21,10010,2023-12-01,Timely,N/A
1050.00,10010,2023-12-01,Timely,N/A
280.74,10010,2023-12-01,Timely,N/A
478.95,10010,2023-12-01,Timely,N/A
975.95,10010,2023-12-01,Timely,N/A
1138.53,10010,2023-12-01,Timely,N/A
382.37,10011,2023-12-01,Timely,N/A
1031.00,10011,2023-12-01,Timely,N/A
426.00,10011,2023-12-01,Timely,N/A
1018.80,10011,2023-12-01,Timely,N/A
945.36,10011,2023-12-01,Timely,N/A
348.34,10011,2023-12-01,Timely,N/A
321.60,10011,2023-12-01,Timely,N/A
296.25,10011,2023-12-01,Timely,N/A
1235.78,10011,2023-12-01,Timely,N/A
1345.74,10011,2023-12-01,Timely,N/A
759.63,10012,2023-12-01,Timely,N/A
642.90,10013,2023-12-01,Timely,N/A
387.20,10013,2023-12-01,Timely,N/A
955.14,10013,2023-12-01,Timely,N/A
865.10,10013,2023-12-01,Timely,N/A
819.24,10013,2023-12-01,Timely,N/A
707.69,10014,2023-12-01,Timely,N/A
990.37,10014,2023-12-01,Timely,N/A
699.57,10014,2023-12-01,Timely,N/A
795.67,10014,2023-12-01,Timely,N/A
834.36,10014,2023-12-01,Timely,N/A
732.00,10014,2023-12-01,Timely,N/A
710.91,10014,2023-12-01,Timely,N/A
1521.97,10014,2023-12-01,Timely,N/A
2083.20,10016,2023-12-01,Timely,N/A
1866.00,10016,2023-12-01,Timely,N/A
629.54,10016,2023-12-01,Timely,N/A
1104.93,10016,2023-12-01,Timely,N/A
603.67,10016,2023-12-01,Timely,N/A
794.70,10016,2023-12-01,Timely,N/A
537.18,10016,2023-12-01,Timely,N/A
1939.21,10016,2023-12-01,Timely,N/A
557.73,10016,2023-12-01,Timely,N/A
710.96,10016,2023-12-01,Timely,N/A
481.92,10016,2023-12-01,Timely,N/A
569.08,10016,2023-12-01,Timely,N/A
832.00,10016,2023-12-01,Timely,N/A
671.50,10016,2023-12-01,Timely,N/A
662.09,10016,2023-12-01,Timely,N/A
748.24,10016,2023-12-01,Timely,N/A
1125.35,10016,2023-12-01,Timely,N/A
545.08,10016,2023-12-01,Timely,N/A
2649.00,10016,2023-12-01,Timely,N/A
2006.80,10016,2023-12-01,Timely,N/A
677.11,10016,2023-12-01,Timely,N/A
588.99,10016,2023-12-01,Timely,N/A
379.30,10016,2023-12-01,Timely,N/A
595.73,10016,2023-12-01,Timely,N/A
788.55,10016,2023-12-01,Timely,N/A
390.80,10016,2023-12-01,Timely,N/A
1831.92,10016,2023-12-01,Timely,N/A
340.80,10016,2023-12-01,Timely,N/A
449.47,10016,2023-12-01,Timely,N/A
750.99,10016,2023-12-01,Timely,N/A
1124.70,10016,2023-12-01,Timely,N/A
828.17,10016,2023-12-01,Timely,N/A
878.17,10016,2023-12-01,Timely,N/A
1053.00,10016,2023-12-01,Timely,N/A
826.05,10016,2023-12-01,Timely,N/A
653.64,10016,2023-12-01,Timely,N/A
63.22,10016,2023-12-01,Timely,N/A
785.72,10016,2023-12-01,Timely,N/A
832.00,10016,2023-12-01,Timely,N/A
1170.00,10016,2023-12-01,Timely,N/A
695.33,10016,2023-12-01,Timely,N/A
511.00,10016,2023-12-01,Timely,N/A
709.05,10016,2023-12-01,Timely,N/A
2006.60,10016,2023-12-01,Timely,N/A
681.24,10016,2023-12-01,Timely,N/A
832.00,10016,2023-12-01,Timely,N/A
1149.17,10016,2023-12-01,Timely,N/A
2759.25,10016,2023-12-01,Timely,N/A
1834.90,10016,2023-12-01,Timely,N/A
1417.00,10016,2023-12-01,Timely,N/A
1670.00,10016,2023-12-01,Timely,N/A
588.56,10016,2023-12-01,Timely,N/A
1949.77,10016,2023-12-01,Timely,N/A
1026.59,10016,2023-12-01,Timely,N/A
460.20,10016,2023-12-01,Timely,N/A
1210.00,10016,2023-12-01,Timely,N/A
1592.00,10016,2023-12-01,Timely,N/A
1130.00,10016,2023-12-01,Timely,N/A
660.16,10016,2023-12-01,Timely,N/A
624.55,10016,2023-12-01,Timely,N/A
521.46,10017,2023-12-01,Timely,N/A
799.32,10017,2023-12-01,Timely,N/A
285.90,10017,2023-12-01,Timely,N/A
660.15,10017,2023-12-01,Timely,N/A
1040.00,10017,2023-12-01,Timely,N/A
1130.00,10017,2023-12-01,Timely,N/A
487.74,10018,2023-12-01,Timely,N/A
732.00,10018,2023-12-01,Timely,N/A
528.80,10018,2023-12-01,Timely,N/A
545.21,10018,2023-12-01,Timely,N/A
698.53,10018,2023-12-01,Timely,N/A
688.70,10018,2023-12-01,Timely,N/A
2499.00,10018,2023-12-01,Timely,N/A
415.37,10018,2023-12-01,Timely,N/A
448.46,10018,2023-12-01,Timely,N/A
2087.00,10018,2023-12-01,Timely,N/A
401.00,10018,2023-12-01,Timely,N/A
527.79,10018,2023-12-01,Timely,N/A
402.10,10018,2023-12-01,Timely,N/A
2499.00,10018,2023-12-01,Timely,N/A
2019.00,10018,2023-12-01,Timely,N/A
2001.70,10018,2023-12-01,Timely,N/A
734.54,10018,2023-12-01,Timely,N/A
2553.00,10019,2023-12-01,Timely,N/A
2654.82,10019,2023-12-01,Timely,N/A
142.13,10019,2023-12-01,Timely,N/A
1780.90,10019,2023-12-01,Timely,N/A
750.00,10019,2023-12-01,Timely,N/A
755.48,10019,2023-12-01,Timely,N/A
425.20,10019,2023-12-01,Timely,N/A
1031.67,10019,2023-12-01,Timely,N/A
415.93,10019,2023-12-01,Timely,N/A
1712.90,10019,2023-12-01,Timely,N/A
2553.00,10019,2023-12-01,Timely,N/A
563.77,10019,2023-12-01,Timely,N/A
434.66,10019,2023-12-01,Timely,N/A
836.41,10019,2023-12-01,Timely,N/A
1169.08,10019,2023-12-01,Timely,N/A
691.45,10019,2023-12-01,Timely,N/A
317.54,10019,2023-12-01,Timely,N/A
2503.00,10019,2023-12-01,Timely,N/A
317.28,10019,2023-12-01,Timely,N/A
849.00,10019,2023-12-01,Timely,N/A
784.02,10019,2023-12-01,Timely,N/A
2174.54,10019,2023-12-01,Timely,N/A
750.00,10019,2023-12-01,Timely,N/A
201.81,10019,2023-12-01,Timely,N/A
410.09,10019,2023-12-01,Timely,N/A
2703.00,10019,2023-12-01,Timely,N/A
781.64,10019,2023-12-01,Timely,N/A
2503.00,10019,2023-12-01,Timely,N/A
800.83,10019,2023-12-01,Timely,N/A
463.59,10019,2023-12-01,Timely,N/A
1900.58,10019,2023-12-01,Timely,N/A
2670.00,10019,2023-12-01,Timely,N/A
816.70,10019,2023-12-01,Timely,N/A
520.32,10019,2023-12-01,Timely,N/A
719.10,10019,2023-12-01,Timely,N/A
404.13,10019,2023-12-01,Timely,N/A
