zip,no_payments,amount_total,modzcta,zcta,pop_est,nyc,NAME,medincomeE,medincomeM,county,total_pop,total_vouchers,prop_pop,prop_vouchers
11040,1,2246,NA,NA,NA,FALSE,ZCTA5 11040,144174,8261,Nassau,NA,338,NA,0.2958579881656805
11040,1,2246,NA,NA,NA,FALSE,ZCTA5 11040,144174,8261,Queens,NA,338,NA,0.2958579881656805
11050,1,1686,NA,NA,NA,FALSE,ZCTA5 11050,152020,15999,Nassau,NA,338,NA,0.2958579881656805
11101,278,488885,11101,11101,30043,TRUE,ZCTA5 11101,109625,9034,Queens,8872576,45429,0.3386051581863035,0.6119439124788131
11102,148,297253,11102,11102,30800,TRUE,ZCTA5 11102,103409,8388,Queens,8872576,45429,0.34713706594341937,0.3257830900966343
11103,17,17602,11103,11103,36140,TRUE,ZCTA5 11103,88116,6123,Queens,8872576,45429,0.40732251828555766,0.037421030619208
11104,27,35489,11104,11104,26119,TRUE,ZCTA5 11104,83493,6890,Queens,8872576,45429,0.29437899433039516,0.05943340157168329
11105,18,18905,11105,11105,37382,TRUE,ZCTA5 11105,97233,7305,Queens,8872576,45429,0.42132070776288644,0.039622267714455525
11106,41,70002,11106,11106,38363,TRUE,ZCTA5 11106,81729,6210,Queens,8872576,45429,0.4323772487268635,0.0902507209051487
11109,11,15803,11109,11109,5981,TRUE,ZCTA5 11109,173939,41181,Queens,8872576,45429,0.06740996075998673,0.02421360804772282
11201,120,186003,11201,11201,62823,TRUE,ZCTA5 11201,163310,8192,Kings,8872576,45429,0.7080581783689427,0.2641484514297035
11201,120,186003,11201,11201,62823,TRUE,ZCTA5 11201,163310,8192,New York,8872576,45429,0.7080581783689427,0.2641484514297035
11203,562,1010736,11203,11203,75451,TRUE,ZCTA5 11203,68006,2758,Kings,8872576,45429,0.8503843754057445,1.2370952475291113
11204,46,57777,11204,11204,76978,TRUE,ZCTA5 11204,64172,4094,Kings,8872576,45429,0.8675947098114459,0.10125690638138633
11205,80,147017,11205,11205,46064,TRUE,ZCTA5 11205,74839,5527,Kings,8872576,45429,0.5191727858966776,0.17609896761980232
11206,293,448180,11206,11206,88349,TRUE,ZCTA5 11206,51507,3761,Kings,8872576,45429,0.9957536571115311,0.6449624689075261
11207,1203,2009139,11207,11207,91972,TRUE,ZCTA5 11207,52569,3338,Kings,8872576,45429,1.0365873450957197,2.648088225582778
11208,935,1524569,11208,11208,98660,TRUE,ZCTA5 11208,56298,3019,Kings,8872576,45429,1.1119656794148622,2.05815668405644
11209,48,71133,11209,"11209, 11425",67809,TRUE,ZCTA5 11209,88546,4912,Kings,8872576,45429,0.7642538085895235,0.10565938057188139
11210,498,1043176,11210,11210,67040,TRUE,ZCTA5 11210,82904,6100,Kings,8872576,45429,0.7555866526248972,1.0962160734332695
11211,118,261338,11211,11211,102624,TRUE,ZCTA5 11211,94824,7298,Kings,8872576,45429,1.1566426706291386,0.25974597723920845
11212,1239,1985754,11212,11212,76527,TRUE,ZCTA5 11212,35840,4017,Kings,8872576,45429,0.862511631345846,2.7273327610116884
11213,459,776869,11213,11213,66295,TRUE,ZCTA5 11213,54211,4112,Kings,8872576,45429,0.7471899930752918,1.0103678267186158
11214,88,114175,11214,11214,92946,TRUE,ZCTA5 11214,60152,2743,Kings,8872576,45429,1.0475649912719824,0.19370886438178256
11215,19,30382,11215,11215,70156,TRUE,ZCTA5 11215,173899,7449,Kings,8872576,45429,0.7907061038417704,0.04182350480970305
11216,225,330025,11216,11216,56308,TRUE,ZCTA5 11216,92684,5556,Kings,8872576,45429,0.6346296723747421,0.49527834643069407
11217,195,174160,11217,11217,41407,TRUE,ZCTA5 11217,152735,9472,Kings,8872576,45429,0.46668521069867425,0.4292412335732682
11218,48,82612,11218,11218,74508,TRUE,ZCTA5 11218,87759,6526,Kings,8872576,45429,0.8397561204322171,0.10565938057188139
11219,54,80559,11219,11219,90036,TRUE,ZCTA5 11219,51194,4766,Kings,8872576,45429,1.0147673009507048,0.11886680314336658
11220,108,164672,11220,11220,95643,TRUE,ZCTA5 11220,62804,2844,Kings,8872576,45429,1.0779620259099498,0.23773360628673315
11221,489,797931,11221,11221,83835,TRUE,ZCTA5 11221,77600,5699,Kings,8872576,45429,0.9448777897196935,1.0764049395760418
11222,179,290287,11222,11222,36492,TRUE,ZCTA5 11222,126250,10193,Kings,8872576,45429,0.4112897990391967,0.3940214400493077
11223,73,132874,11223,11223,81789,TRUE,ZCTA5 11223,61356,4590,Kings,8872576,45429,0.9218179703391665,0.16069030795306963
11224,335,463718,11224,11224,46707,TRUE,ZCTA5 11224,40467,3910,Kings,8872576,45429,0.5264198356824444,0.7374144269079222
