zip,no_payments,amount_total,modzcta,zcta,pop_est,nyc,NAME,medincomeE,medincomeM,county,total_pop,total_vouchers,prop_pop,prop_vouchers
10001,75,56577,10001,"10001, 10119, 10199",23072,TRUE,ZCTA5 10001,106509,9423,New York,8872576,38214,0.26003722030670684,0.19626314963102526
10002,114,132309.67,10002,10002,74993,TRUE,ZCTA5 10002,43362,5737,New York,8872576,38214,0.84522240215243,0.2983199874391584
10003,30,28881.66,10003,10003,54682,TRUE,ZCTA5 10003,152863,10149,New York,8872576,38214,0.6163035402570798,0.07850525985241011
10009,29,23210.76,10009,10009,57925,TRUE,ZCTA5 10009,83344,8153,New York,8872576,38214,0.6528543683367716,0.07588841785732978
10010,16,19157.81,10010,10010,33730,TRUE,ZCTA5 10010,150288,23588,New York,8872576,38214,0.380160169943881,0.041869471921285394
10011,15,17437.15,10011,10011,50472,TRUE,ZCTA5 10011,145934,17135,New York,8872576,38214,0.5688539607888397,0.039252629926205054
10012,1,1022.33,10012,10012,23411,TRUE,ZCTA5 10012,126890,11459,New York,8872576,38214,0.26385798216887635,0.002616841995080337
10013,6,4560.1,10013,10013,28709,TRUE,ZCTA5 10013,150675,24174,New York,8872576,38214,0.32357006578472813,0.01570105197048202
10014,8,6997.07,10014,10014,30738,TRUE,ZCTA5 10014,147267,15234,New York,8872576,38214,0.34643828353794887,0.020934735960642697
10016,63,65570.5,10016,10016,51057,TRUE,ZCTA5 10016,145864,12565,New York,8872576,38214,0.5754473109049728,0.16486104569006124
10017,6,4436.8,10017,"10017, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177",15801,TRUE,ZCTA5 10017,139964,25136,New York,8872576,38214,0.17808807723934963,0.01570105197048202
10018,20,19339.64,10018,10018,9687,TRUE,ZCTA5 10018,149118,28258,New York,8872576,38214,0.10917911551278907,0.052336839901606744
10019,83,124793.59,10019,"10019, 10020, 10103, 10111, 10112",43703,TRUE,ZCTA5 10019,113335,13895,New York,8872576,38214,0.49256270106900185,0.21719788559166797
10021,6,4532.8,10021,10021,46215,TRUE,ZCTA5 10021,149432,14460,New York,8872576,38214,0.520874659174517,0.01570105197048202
10022,19,19821.43,10022,"10022, 10152, 10153, 10154",31125,TRUE,ZCTA5 10022,161236,21547,New York,8872576,38214,0.35080003823016,0.0497199979065264
10023,59,48416.14,10023,10023,62435,TRUE,ZCTA5 10023,151468,15653,New York,8872576,38214,0.7036851529927723,0.15439367770973988
10024,29,29962,10024,10024,59001,TRUE,ZCTA5 10024,166994,16881,New York,8872576,38214,0.6649816242768729,0.07588841785732978
